# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Mapping from ISO-alpha3 country codes to Wirsenius (2000) regions.
#
# Source: Wirsenius, S. (2000). Human Use of Land and Organic Materials:
# Modeling the Turnover of Biomass in the Global Food System.
# Chalmers University of Technology and Göteborg University, Sweden.
# Table 2.1, ISBN 91-7197-886-0.
#
# Note: Wirsenius regional definitions differ from UN M49 regions in some cases:
# - Greece classified as East Europe (not Southern Europe)
# - Balkans (Albania, Croatia, Slovenia, etc.) classified as East Europe
# - Iran classified as South & Central Asia (not Western Asia)
# - Southeast Asian countries classified as East Asia
#
country,wirsenius_region
SWE,West Europe
GBR,West Europe
# Southern Europe -> mostly East Europe (Balkans) or West Europe
ALB,East Europe
AND,West Europe
BIH,East Europe
HRV,East Europe
GIB,West Europe
GRC,East Europe
VAT,West Europe
ITA,West Europe
MLT,West Europe
MNE,East Europe
MKD,East Europe
PRT,West Europe
SMR,West Europe
SRB,East Europe
SVN,East Europe
ESP,West Europe
# Western Europe -> West Europe
AUT,West Europe
BEL,West Europe
FRA,West Europe
DEU,West Europe
LIE,West Europe
LUX,West Europe
MCO,West Europe
NLD,West Europe
CHE,West Europe
# Oceania -> North America & Oceania
AUS,North America & Oceania
CXR,North America & Oceania
CCK,North America & Oceania
HMD,North America & Oceania
NZL,North America & Oceania
NFK,North America & Oceania
FJI,North America & Oceania
NCL,North America & Oceania
PNG,North America & Oceania
SLB,North America & Oceania
VUT,North America & Oceania
GUM,North America & Oceania
KIR,North America & Oceania
MHL,North America & Oceania
FSM,North America & Oceania
NRU,North America & Oceania
MNP,North America & Oceania
PLW,North America & Oceania
UMI,North America & Oceania
ASM,North America & Oceania
COK,North America & Oceania
PYF,North America & Oceania
NIU,North America & Oceania
PCN,North America & Oceania
WSM,North America & Oceania
TKL,North America & Oceania
TON,North America & Oceania
TUV,North America & Oceania
WLF,North America & Oceania
