food,nutrient,unit,value
sorghum,protein,g/100g,10.62
soy,cal,kcal/100g,445.98
soy,carb,g/100g,30.16
soy,fat,g/100g,19.94
soy,protein,g/100g,36.49
sugar,cal,kcal/100g,386.71
sugar,carb,g/100g,99.98
sugar,fat,g/100g,0.0
sugar,protein,g/100g,0.0
sunflower-oil,cal,kcal/100g,884.08
sunflower-oil,carb,g/100g,0.0
sunflower-oil,fat,g/100g,100.0
sunflower-oil,protein,g/100g,0.0
sunflower-seed,cal,kcal/100g,584.37
sunflower-seed,carb,g/100g,20.0
sunflower-seed,fat,g/100g,51.46
sunflower-seed,protein,g/100g,20.78
sweet-potato,cal,kcal/100g,85.8
sweet-potato,carb,g/100g,20.12
sweet-potato,fat,g/100g,0.05
sweet-potato,protein,g/100g,1.57
tomato,cal,kcal/100g,17.69
tomato,carb,g/100g,3.89
tomato,fat,g/100g,0.2
tomato,protein,g/100g,0.88
yam,cal,kcal/100g,118.07
yam,carb,g/100g,27.88
yam,fat,g/100g,0.17
yam,protein,g/100g,1.53
